Localité;;"T01M1RE [°C]";"T01M1RE [%HR]";"T02M1QR [°C]";"T02M1QR [%HR]";"T03M1E1 [°C]";"T03M1E1 [%HR]";"T04M1E1 [°C]";"T04M1E1 [%HR]";"T05M1E2 [°C]";"T05M1E2 [%HR]"
"Groupe de points de mesure";;;;;;;;;;;
Zone;;;;;;;;;;;
"Limite inférieure";;15,0;15,0;15,0;15,0;15,0;15,0;15,0;15,0;15,0;15,0
"Limite supérieure";;25,0;65,0;25,0;65,0;25,0;65,0;25,0;65,0;25,0;65,0
"Valeur moyenne";;24,5;44,7;23,8;46,2;24,4;45,5;23,9;45,7;23,8;45,0
"Valeur minimale";;21,2;33,6;19,7;35,3;21,1;33,8;21,1;34,8;21,5;33,0
"Valeur maximale";;28,3;60,4;28,1;61,0;28,0;58,1;27,7;59,1;26,9;58,3
01/08/2022;00:00:00;24,9;48,8;24,2;51,6;24,9;49,1;24,2;49,9;24,2;48,1
01/08/2022;00:15:00;24,8;49,0;24,2;51,3;24,9;49,2;24,2;50,0;24,2;48,7
01/08/2022;00:30:00;24,8;49,1;24,1;51,4;24,9;49,3;24,2;50,2;24,1;49,0
01/08/2022;00:45:00;24,8;49,3;24,1;51,9;24,8;49,5;24,1;50,3;24,1;49,3
01/08/2022;01:00:00;24,8;49,4;24,0;51,7;24,8;49,6;24,1;50,5;24,1;49,6
01/08/2022;01:15:00;24,7;49,5;24,0;51,9;24,8;49,7;24,1;50,6;24,0;49,9
01/08/2022;01:30:00;24,7;49,5;24,0;52,0;24,7;49,8;24,1;50,7;24,1;50,0
01/08/2022;01:45:00;24,7;49,5;23,9;51,8;24,7;49,9;24,0;50,8;24,0;50,1
01/08/2022;02:00:00;24,6;49,6;23,9;51,9;24,6;50,0;24,0;50,9;24,0;50,2
01/08/2022;02:15:00;24,6;49,6;23,8;51,9;24,6;50,1;24,0;51,1;23,9;50,2
01/08/2022;02:30:00;24,6;49,7;23,8;52,0;24,6;50,3;23,9;51,1;23,9;50,4
01/08/2022;02:45:00;24,5;49,9;23,8;52,1;24,5;50,4;23,9;51,3;23,9;50,5
01/08/2022;03:00:00;24,5;49,9;23,7;52,2;24,5;50,6;23,9;51,4;23,9;50,6
01/08/2022;03:15:00;24,4;50,1;23,7;52,4;24,4;50,7;23,8;51,5;23,8;50,7
01/08/2022;03:30:00;24,4;50,2;23,7;52,5;24,4;50,8;23,8;51,7;23,8;50,8
01/08/2022;03:45:00;24,4;50,4;23,6;52,7;24,4;51,0;23,8;51,8;23,8;50,9
01/08/2022;04:00:00;24,3;50,5;23,6;52,9;24,3;51,0;23,8;52,0;23,7;50,9
01/08/2022;04:15:00;24,3;50,6;23,6;53,0;24,3;51,2;23,7;52,0;23,7;50,9
01/08/2022;04:30:00;24,3;50,8;23,5;53,2;24,2;51,2;23,7;52,1;23,7;51,0
01/08/2022;04:45:00;24,2;51,0;23,5;53,4;24,2;51,4;23,7;52,2;23,7;51,1
01/08/2022;05:00:00;24,2;51,2;23,4;53,6;24,1;51,5;23,6;52,3;23,6;51,0
01/08/2022;05:15:00;24,1;51,4;23,4;53,7;24,1;51,6;23,6;52,4;23,6;51,1
01/08/2022;05:30:00;24,1;51,6;23,3;53,9;24,1;51,6;23,6;52,5;23,6;51,0
01/08/2022;05:45:00;24,1;51,8;23,3;54,0;24,0;51,8;23,5;52,7;23,5;51,1
01/08/2022;06:00:00;24,0;51,9;23,3;54,2;24,0;51,9;23,5;52,7;23,5;51,0
01/08/2022;06:15:00;24,0;52,1;23,3;54,3;23,9;52,0;23,5;52,8;23,5;51,1
01/08/2022;06:30:00;24,0;52,3;23,2;54,5;23,9;52,1;23,5;53,0;23,5;51,1
01/08/2022;06:45:00;23,9;52,4;23,2;54,6;23,9;52,3;23,4;53,1;23,5;51,1
01/08/2022;07:00:00;23,9;52,7;23,2;54,8;23,8;52,3;23,4;53,2;23,4;51,1
01/08/2022;07:15:00;23,9;52,8;23,1;55,0;23,8;52,5;23,3;53,3;23,4;51,2
01/08/2022;07:30:00;23,8;53,0;23,1;55,2;23,8;52,6;23,3;53,3;23,4;51,1
01/08/2022;07:45:00;23,8;53,1;23,1;55,3;23,7;52,8;23,3;53,6;23,4;51,2
01/08/2022;08:00:00;23,8;53,2;23,1;55,4;23,7;53,0;23,3;53,7;23,4;51,6
01/08/2022;08:15:00;23,8;53,2;23,2;55,4;23,7;53,2;23,4;53,8;23,4;51,9
