Localité;;"T06M1E2 [°C]";"T06M1E2 [%HR]";"T07M1E2 [°C]";"T07M1E2 [%HR]";"T08M1LV [°C]";"T08M1LV [%HR]"
"Groupe de points de mesure";;;;;;;
Zone;;;;;;;
"Limite inférieure";;15,0;15,0;15,0;15,0;15,0;15,0
"Limite supérieure";;25,0;65,0;25,0;65,0;25,0;65,0
"Valeur moyenne";;23,6;43,9;24,4;41,8;24,8;44,4
"Valeur minimale";;20,6;33,3;21,6;30,5;22,5;30,4
"Valeur maximale";;27,2;55,7;27,6;59,2;27,6;58,1
01/08/2022;00:00:00;24,5;45,0;24,9;43,5;25,1;43,2
01/08/2022;00:15:00;24,5;45,1;24,9;43,7;25,1;43,4
01/08/2022;00:30:00;24,5;45,1;24,8;43,9;25,0;43,6
01/08/2022;00:30:44;;;;;25,1;43,7
01/08/2022;00:45:00;24,4;45,1;24,8;44,1;25,0;43,6
01/08/2022;00:45:43;;;;;25,1;43,7
01/08/2022;01:00:00;24,4;45,3;24,8;44,3;25,0;43,8
01/08/2022;01:15:00;24,4;45,4;24,7;44,4;25,0;44,2
01/08/2022;01:30:00;24,3;45,5;24,7;44,5;24,9;44,2
01/08/2022;01:45:00;24,3;45,6;24,7;44,7;24,9;44,6
01/08/2022;02:00:00;24,2;45,7;24,6;45,0;24,9;44,7
01/08/2022;02:15:00;24,2;45,9;24,6;45,1;24,9;45,7
01/08/2022;02:30:00;24,2;46,0;24,5;45,4;24,9;45,7
01/08/2022;02:45:00;24,1;46,1;24,5;45,6;24,8;46,4
01/08/2022;03:00:00;24,1;46,3;24,4;45,8;24,8;46,9
01/08/2022;03:15:00;24,0;46,5;24,4;46,0;24,8;47,5
01/08/2022;03:30:00;24,0;46,6;24,4;46,2;24,8;47,4
01/08/2022;03:45:00;24,0;46,7;24,3;46,3;24,7;47,3
01/08/2022;04:00:00;24,0;46,9;24,3;46,5;24,7;47,7
01/08/2022;04:15:00;23,9;47,1;24,2;46,7;24,7;48,1
01/08/2022;04:30:00;23,9;47,2;24,2;46,9;24,6;48,1
01/08/2022;04:45:00;23,8;47,3;24,1;47,1;24,6;48,2
01/08/2022;05:00:00;23,8;47,5;24,1;47,4;24,5;48,3
01/08/2022;05:15:00;23,7;47,7;24,0;47,6;24,5;48,6
01/08/2022;05:30:00;23,7;47,8;24,0;47,7;24,4;49,1
01/08/2022;05:45:00;23,7;47,9;24,0;47,9;24,4;49,3
01/08/2022;06:00:00;23,6;48,1;23,9;48,1;24,4;49,8
01/08/2022;06:15:00;23,6;48,2;23,9;48,4;24,3;49,5
01/08/2022;06:30:00;23,6;48,3;23,8;48,6;24,3;49,7
01/08/2022;06:45:00;23,5;48,5;23,8;48,8;24,2;49,5
01/08/2022;07:00:00;23,5;48,6;23,8;49,0;24,2;49,7
01/08/2022;07:15:00;23,5;48,7;23,7;49,1;24,2;49,6
01/08/2022;07:30:00;23,4;48,8;23,7;49,3;24,2;50,0
01/08/2022;07:45:00;23,4;49,0;23,7;49,3;24,2;50,2
01/08/2022;08:00:00;23,5;49,0;23,7;49,3;24,2;50,7
01/08/2022;08:15:00;23,4;49,0;23,7;49,4;24,1;50,2
01/08/2022;08:30:00;23,5;49,2;23,7;49,5;24,2;50,5
01/08/2022;08:45:00;23,4;49,2;23,7;49,5;24,2;51,0
01/08/2022;09:00:00;23,4;49,3;23,7;49,6;24,1;50,9
01/08/2022;09:15:00;23,4;49,4;23,7;49,6;24,1;52,5
01/08/2022;09:30:00;23,4;49,5;23,6;49,6;24,1;51,5
01/08/2022;09:45:00;23,4;49,7;23,6;49,8;24,1;51,8
01/08/2022;10:00:00;23,4;49,8;23,6;50,0;24,1;51,7
01/08/2022;10:15:00;23,4;49,9;23,7;50,1;24,1;51,2
01/08/2022;10:30:00;23,4;50,2;23,6;50,3;24,1;51,1
01/08/2022;10:45:00;23,4;50,3;23,6;50,6;24,1;51,1
01/08/2022;11:00:00;23,4;50,5;23,6;50,7;24,1;51,8
01/08/2022;11:15:00;23,4;50,6;23,6;51,1;24,1;51,9
01/08/2022;11:30:00;23,4;50,8;23,6;51,2;24,1;51,9
01/08/2022;11:45:00;23,4;50,9;23,6;51,6;24,1;52,5
01/08/2022;12:00:00;23,4;50,6;23,6;51,8;24,1;52,0
01/08/2022;12:15:00;23,4;51,3;23,6;52,0;24,1;51,1
01/08/2022;12:30:00;23,4;51,8;23,6;52,3;24,1;51,2
01/08/2022;12:45:00;23,5;52,2;23,7;53,5;24,2;51,5
