Localité;;"T01M2RE [°C]";"T01M2RE [%HR]";"T02M2QR [°C]";"T02M2QR [%HR]";"T03M2E1 [°C]";"T03M2E1 [%HR]";"T04M2E1 [°C]";"T04M2E1 [%HR]";"T05M2E2 [°C]";"T05M2E2 [%HR]"
"Groupe de points de mesure";;;;;;;;;;;
Zone;;;;;;;;;;;
"Limite inférieure";;;;15,0;15,0;15,0;15,0;15,0;15,0;15,0;15,0
"Limite supérieure";;;;25,0;65,0;25,0;65,0;25,0;65,0;25,0;65,0
"Valeur moyenne";;24,8;56,5;22,2;45,1;21,4;47,4;23,7;43,7;22,2;45,3
"Valeur minimale";;23,2;41,0;19,1;37,3;16,7;38,5;21,5;33,2;19,6;37,0
"Valeur maximale";;27,1;66,7;25,7;54,0;25,1;53,9;27,6;59,9;25,1;53,6
01/08/2022;00:00:00;24,7;58,9;22,6;48,5;22,1;49,8;23,4;47,0;22,3;49,0
01/08/2022;00:15:00;24,7;59,0;22,6;48,6;22,1;49,9;23,3;47,2;22,3;49,1
01/08/2022;00:30:00;24,7;58,7;22,6;48,6;22,2;49,9;23,3;47,2;22,3;49,3
01/08/2022;00:45:00;24,7;58,6;22,6;48,7;22,1;49,9;23,3;47,3;22,3;49,3
01/08/2022;01:00:00;24,7;58,5;22,5;48,7;22,1;49,8;23,3;47,5;22,3;49,2
01/08/2022;01:15:00;24,6;58,5;22,5;48,8;22,1;50,0;23,2;47,6;22,3;49,4
01/08/2022;01:30:00;24,6;58,5;22,5;48,9;22,1;50,0;23,2;47,7;22,3;49,3
01/08/2022;01:45:00;24,6;58,8;22,5;49,1;22,1;50,1;23,2;47,8;22,3;49,4
01/08/2022;02:00:00;24,6;58,9;22,5;49,2;22,1;50,1;23,2;47,9;22,3;49,4
01/08/2022;02:15:00;24,6;59,1;22,5;49,2;22,1;50,2;23,1;48,0;22,3;49,5
01/08/2022;02:30:00;24,6;###;22,4;49,3;22,1;50,1;23,1;48,2;22,3;49,5
01/08/2022;02:45:00;24,6;###;22,4;49,4;22,1;50,3;23,1;48,2;22,3;49,7
01/08/2022;03:00:00;24,5;59,5;22,4;49,4;22,1;50,3;23,1;48,4;22,3;49,7
01/08/2022;03:15:00;24,5;59,5;22,4;49,5;22,1;50,4;23,0;48,5;22,3;49,8
01/08/2022;03:30:00;24,5;###;22,4;49,7;22,1;50,4;23,0;48,5;22,3;49,9
01/08/2022;03:45:00;24,6;###;22,4;49,7;22,1;50,5;23,0;48,6;22,2;49,9
01/08/2022;04:00:00;24,5;###;22,3;49,8;22,1;50,5;23,0;48,8;22,3;50,0
01/08/2022;04:15:00;24,5;###;22,4;50,0;22,1;50,5;23,0;48,8;22,2;50,1
01/08/2022;04:30:00;24,5;59,1;22,3;50,0;22,1;50,6;22,9;49,0;22,3;50,1
01/08/2022;04:45:00;24,5;58,5;22,3;50,0;22,1;50,7;22,9;49,1;22,3;50,2
01/08/2022;05:00:00;24,5;58,8;22,3;50,2;22,1;50,7;22,9;49,1;22,3;50,2
01/08/2022;05:15:00;24,5;58,8;22,3;50,3;22,1;50,8;22,9;49,3;22,2;50,4
01/08/2022;05:30:00;24,4;58,9;22,3;50,3;22,1;50,8;22,9;49,4;22,3;50,4
01/08/2022;05:45:00;24,4;58,7;22,3;50,4;22,1;50,9;22,8;49,4;22,2;50,4
01/08/2022;06:00:00;24,4;58,8;22,3;50,5;22,1;51,0;22,8;49,6;22,3;50,5
01/08/2022;06:15:00;24,4;58,8;22,3;50,6;22,1;51,1;22,8;49,7;22,2;50,6
01/08/2022;06:30:00;24,4;58,9;22,3;50,7;22,1;51,0;22,8;49,8;22,3;50,7
01/08/2022;06:45:00;24,3;58,9;22,3;50,8;22,1;51,1;22,8;50,0;22,2;50,8
01/08/2022;07:00:00;24,3;59,0;22,3;50,7;22,2;51,2;22,7;50,4;22,3;50,8
01/08/2022;07:15:00;24,3;###;22,4;50,6;22,2;51,1;22,7;50,5;22,3;50,8
01/08/2022;07:30:00;24,3;###;22,4;50,7;22,2;51,1;22,8;50,7;22,3;50,8
01/08/2022;07:45:00;24,3;###;22,4;50,5;22,2;51,2;22,7;51,0;22,3;50,8
01/08/2022;08:00:00;24,3;###;22,5;50,6;22,3;51,2;22,7;51,2;22,3;51,0
01/08/2022;08:15:00;24,3;58,8;22,5;50,4;22,3;51,2;22,8;52,0;22,4;51,1
01/08/2022;08:30:00;24,2;###;22,5;50,4;22,3;51,5;22,7;51,8;22,4;51,2
