Localité;;"T06M2E1 [°C]";"T06M2E1 [%HR]";"T07M2E1 [°C]";"T07M2E1 [%HR]";"T08M2E1 [°C]";"T08M2E1 [%HR]";"T09M2E1 [°C]";"T09M2E1 [%HR]";"T10M2E2 [°C]";"T10M2E2 [%HR]"
"Groupe de points de mesure";;;;;;;;;;;
Zone;;;;;;;;;;;
"Limite inférieure";;15,0;15,0;15,0;15,0;15,0;15,0;15,0;15,0;15,0;15,0
"Limite supérieure";;25,0;65,0;25,0;65,0;25,0;65,0;25,0;65,0;25,0;65,0
"Valeur moyenne";;22,0;46,1;23,1;43,2;21,5;53,6;22,7;49,2;22,7;47,2
"Valeur minimale";;19,5;36,6;20,6;34,3;17,7;35,7;19,1;38,2;19,8;37,2
"Valeur maximale";;24,8;54,8;26,4;52,7;23,9;60,4;26,8;63,2;25,3;56,1
01/08/2022;00:00:00;22,2;49,4;23,0;46,9;22,4;53,4;23,4;49,3;23,2;49,4
01/08/2022;00:15:00;22,1;49,5;23,1;46,7;22,4;53,4;23,3;49,5;23,1;49,5
01/08/2022;00:30:00;22,2;49,4;23,0;46,9;22,4;53,4;23,4;50,2;23,2;49,6
01/08/2022;00:38:09;;;23,1;###;;;;;;
01/08/2022;00:45:00;22,1;49,5;23,0;46,9;22,4;53,5;23,4;49,9;23,2;49,7
01/08/2022;01:00:00;22,2;49,5;23,1;###;22,4;53,5;23,3;49,8;23,2;49,7
01/08/2022;01:00:44;;;23,1;46,9;;;;;;
01/08/2022;01:08:09;;;23,1;###;;;;;;
01/08/2022;01:15:00;22,1;49,5;23,1;###;22,4;53,5;23,3;50,3;23,2;49,8
01/08/2022;01:30:00;22,1;49,6;23,0;###;22,4;53,5;23,3;50,1;23,2;49,8
01/08/2022;01:38:09;;;23,0;47,3;;;;;;
01/08/2022;01:45:00;22,1;49,6;23,0;47,2;22,4;53,6;23,3;50,2;23,2;49,8
01/08/2022;02:00:00;22,1;49,7;23,0;47,4;22,4;53,6;23,3;50,7;23,2;49,8
01/08/2022;02:15:00;22,1;49,8;23,0;47,6;22,4;53,6;23,2;51,0;23,2;49,9
01/08/2022;02:30:00;22,1;49,8;23,0;47,4;22,4;53,7;23,2;50,6;23,2;50,1
01/08/2022;02:45:00;22,1;49,9;22,9;47,6;22,5;53,7;23,2;50,8;23,2;50,2
01/08/2022;03:00:00;22,1;50,0;22,9;48,0;22,5;53,7;23,2;51,1;23,2;50,1
01/08/2022;03:15:00;22,1;50,0;22,9;47,8;22,5;53,7;23,2;51,3;23,2;50,2
01/08/2022;03:30:00;22,1;50,0;22,9;47,9;22,4;53,8;23,2;51,8;23,3;50,3
01/08/2022;03:45:00;22,1;50,2;22,9;48,0;22,5;53,8;23,1;52,2;23,2;50,3
01/08/2022;04:00:00;22,1;50,1;22,9;48,1;22,5;53,8;23,1;51,7;23,3;50,4
01/08/2022;04:15:00;22,1;50,2;22,9;48,0;22,5;53,8;23,1;52,4;23,2;50,5
01/08/2022;04:30:00;22,1;50,3;22,9;48,5;22,5;53,9;23,1;52,6;23,3;50,5
01/08/2022;04:45:00;22,1;50,4;22,9;48,3;22,5;53,9;23,1;53,1;23,3;50,7
01/08/2022;05:00:00;22,1;50,4;22,9;48,4;22,5;53,9;23,1;53,3;23,3;50,8
01/08/2022;05:15:00;22,1;50,5;22,8;48,8;22,5;53,9;23,0;52,6;23,3;50,9
01/08/2022;05:30:00;22,1;50,6;22,8;48,6;22,5;54,0;23,0;52,7;23,3;51,0
01/08/2022;05:45:00;22,1;50,7;22,8;48,6;22,5;54,0;23,0;52,7;23,3;51,1
01/08/2022;06:00:00;22,1;50,7;22,8;48,8;22,5;54,1;23,0;52,7;23,3;51,2
01/08/2022;06:15:00;22,1;50,8;22,8;48,8;22,5;54,2;23,0;53,0;23,3;51,3
01/08/2022;06:30:00;22,1;50,9;22,8;48,9;22,5;54,3;23,0;52,9;23,3;51,4
01/08/2022;06:45:00;22,1;51,0;22,8;49,1;22,5;54,2;22,9;53,3;23,3;51,6
01/08/2022;07:00:00;22,2;51,0;22,8;49,0;22,5;54,4;22,9;53,5;23,3;51,8
01/08/2022;07:15:00;22,2;51,0;22,8;48,9;22,5;54,3;22,9;52,4;23,3;52,0
01/08/2022;07:30:00;22,2;51,0;22,8;49,0;22,5;54,4;22,9;52,1;23,3;52,0
01/08/2022;07:45:00;22,2;51,2;22,9;49,1;22,5;54,4;22,9;53,7;23,3;52,1
