Localité;;"T11M2E2 [°C]";"T11M2E2 [%HR]";"T12M2E3 [°C]";"T12M2E3 [%HR]";"T13M2E3 [°C]";"T13M2E3 [%HR]";"T14M2PR [°C]";"T14M2PR [%HR]";"T15M2LV [°C]";"T15M2LV [%HR]"
"Groupe de points de mesure";;;;;;;;;;;
Zone;;;;;;;;;;;
"Limite inférieure";;15,0;15,0;15,0;15,0;15,0;15,0;15,0;15,0;15,0;15,0
"Limite supérieure";;25,0;65,0;25,0;65,0;25,0;65,0;25,0;65,0;25,0;65,0
"Valeur moyenne";;21,7;52,3;22,2;51,2;22,1;49,4;22,4;47,0;23,4;49,2
"Valeur minimale";;17,5;40,4;18,9;35,7;19,2;37,0;19,8;35,0;21,1;34,5
"Valeur maximale";;24,7;64,2;25,3;67,5;24,8;61,7;25,1;57,3;25,8;61,5
01/08/2022;00:00:00;22,5;54,9;22,8;53,1;22,5;51,7;22,7;50,3;23,6;52,2
01/08/2022;00:15:00;22,5;55,3;22,8;53,2;22,5;51,8;22,7;50,4;23,6;52,2
01/08/2022;00:30:00;22,5;54,5;22,8;53,4;22,5;52,0;22,7;50,5;23,6;52,4
01/08/2022;00:45:00;22,5;54,8;22,8;53,5;22,5;52,0;22,8;50,6;23,6;52,5
01/08/2022;01:00:00;22,5;54,7;22,8;53,7;22,5;52,2;22,8;50,8;23,6;52,6
01/08/2022;01:15:00;22,5;54,3;22,8;53,8;22,5;52,3;22,8;50,8;23,6;52,7
01/08/2022;01:30:00;22,5;54,6;22,8;53,9;22,6;52,3;22,8;50,9;23,6;52,8
01/08/2022;01:45:00;22,5;54,2;22,8;54,0;22,6;52,4;22,8;51,0;23,6;52,9
01/08/2022;02:00:00;22,6;54,0;22,8;54,1;22,6;52,5;22,8;51,1;23,6;53,0
01/08/2022;02:15:00;22,6;54,6;22,8;54,3;22,6;52,5;22,8;51,2;23,6;53,0
01/08/2022;02:30:00;22,6;54,5;22,8;54,4;22,6;52,7;22,8;51,4;23,6;53,2
01/08/2022;02:45:00;22,6;55,0;22,8;54,5;22,6;52,8;22,8;51,5;23,6;53,3
01/08/2022;03:00:00;22,6;55,0;22,8;54,5;22,6;52,9;22,8;51,6;23,6;53,5
01/08/2022;03:15:00;22,6;54,7;22,7;54,7;22,6;53,0;22,8;51,7;23,6;53,6
01/08/2022;03:30:00;22,6;54,9;22,7;54,7;22,6;53,0;22,8;51,8;23,6;53,8
01/08/2022;03:45:00;22,6;54,8;22,7;54,8;22,6;53,1;22,8;51,9;23,6;53,8
01/08/2022;04:00:00;22,6;54,8;22,7;55,1;22,7;53,2;22,8;52,0;23,6;53,9
01/08/2022;04:15:00;22,6;55,0;22,7;55,3;22,7;53,2;22,8;52,1;23,6;54,0
01/08/2022;04:30:00;22,6;55,0;22,7;55,8;22,7;53,4;22,8;52,2;23,5;54,2
01/08/2022;04:45:00;22,6;55,7;22,7;56,6;22,7;53,4;22,8;52,2;23,6;54,4
01/08/2022;05:00:00;22,6;55,2;22,7;57,4;22,7;53,6;22,8;52,4;23,5;54,5
01/08/2022;05:15:00;22,6;56,0;22,7;57,9;22,7;53,6;22,8;52,6;23,5;54,4
01/08/2022;05:30:00;22,6;55,8;22,7;58,4;22,7;53,7;22,8;52,7;23,5;54,4
01/08/2022;05:45:00;22,6;55,9;22,6;59,1;22,7;53,8;22,8;52,8;23,5;54,5
01/08/2022;06:00:00;22,6;56,7;22,6;60,0;22,7;53,8;22,8;52,9;23,5;54,7
01/08/2022;06:15:00;22,6;57,7;22,6;60,8;22,7;53,9;22,8;53,0;23,5;54,8
01/08/2022;06:30:00;22,6;59,7;22,6;61,2;22,7;54,1;22,8;53,1;23,5;54,9
01/08/2022;06:45:00;22,6;60,3;22,6;61,2;22,7;54,3;22,8;53,2;23,5;55,3
01/08/2022;07:00:00;22,6;60,6;22,7;61,7;22,7;54,9;22,8;53,4;23,5;55,6
01/08/2022;07:15:00;22,6;59,8;22,6;60,1;22,7;54,5;22,8;53,5;23,5;55,6
01/08/2022;07:30:00;22,6;60,0;22,6;62,1;22,7;54,8;22,8;53,6;23,5;55,6
01/08/2022;07:45:00;22,6;61,3;22,6;63,3;22,8;55,5;22,8;53,6;23,5;56,2
01/08/2022;08:00:00;22,6;61,5;22,6;62,6;22,7;56,0;22,8;53,9;23,5;56,7
01/08/2022;08:15:00;22,6;61,5;22,6;62,9;22,8;57,7;22,9;54,0;23,5;56,6
