Localité;;"T02M3RE [°C]";"T02M3RE [%HR]"
"Groupe de points de mesure";;;
Zone;;;
"Limite inférieure";;15,0;15,0
"Limite supérieure";;25,0;65,0
"Valeur moyenne";;24,4;59,6
"Valeur minimale";;22,9;48,2
"Valeur maximale";;26,0;69,9
01/08/2022;00:00:00;24,4;60,7
01/08/2022;00:15:00;24,4;60,8
01/08/2022;00:30:00;24,4;60,9
01/08/2022;00:45:00;24,4;61,1
01/08/2022;01:00:00;24,4;61,1
01/08/2022;01:15:00;24,4;61,2
01/08/2022;01:30:00;24,4;61,3
01/08/2022;01:45:00;24,4;61,3
01/08/2022;02:00:00;24,4;61,4
01/08/2022;02:15:00;24,4;61,4
01/08/2022;02:30:00;24,4;61,5
01/08/2022;02:45:00;24,4;61,6
01/08/2022;03:00:00;24,4;61,6
01/08/2022;03:15:00;24,4;61,7
01/08/2022;03:30:00;24,4;61,7
01/08/2022;03:45:00;24,4;61,8
01/08/2022;04:00:00;24,4;61,9
01/08/2022;04:15:00;24,4;62,0
01/08/2022;04:30:00;24,4;62,0
01/08/2022;04:45:00;24,4;62,1
01/08/2022;05:00:00;24,4;62,2
01/08/2022;05:15:00;24,4;62,2
01/08/2022;05:30:00;24,4;62,2
01/08/2022;05:45:00;24,4;62,4
01/08/2022;06:00:00;24,4;62,5
01/08/2022;06:15:00;24,4;62,6
01/08/2022;06:30:00;24,4;62,7
01/08/2022;06:45:00;24,4;62,7
01/08/2022;07:00:00;24,4;62,8
01/08/2022;07:15:00;24,4;62,8
01/08/2022;07:30:00;24,4;62,9
01/08/2022;07:45:00;24,4;62,9
01/08/2022;08:00:00;24,4;62,9
01/08/2022;08:15:00;24,4;63,0
01/08/2022;08:30:00;24,4;63,1
01/08/2022;08:45:00;24,4;63,2
01/08/2022;09:00:00;24,4;63,1
01/08/2022;09:15:00;24,4;63,2
01/08/2022;09:30:00;24,4;63,2
01/08/2022;09:45:00;24,4;63,1
01/08/2022;10:00:00;24,4;63,2
01/08/2022;10:15:00;24,4;63,3
01/08/2022;10:30:00;24,3;63,3
01/08/2022;10:45:00;24,4;63,3
01/08/2022;11:00:00;24,3;63,4
01/08/2022;11:15:00;24,3;63,4
01/08/2022;11:30:00;24,3;63,5
01/08/2022;11:45:00;24,3;63,4
01/08/2022;12:00:00;24,3;63,4
01/08/2022;12:15:00;24,3;63,4
01/08/2022;12:30:00;24,3;63,4
01/08/2022;12:45:00;24,3;63,5
01/08/2022;13:00:00;24,3;63,5
01/08/2022;13:15:00;24,3;63,5
01/08/2022;13:30:00;24,3;63,5
01/08/2022;13:45:00;24,3;63,6
01/08/2022;14:00:00;24,3;63,6
01/08/2022;14:15:00;24,3;63,7
01/08/2022;14:30:00;24,3;63,7
01/08/2022;14:45:00;24,3;63,7
01/08/2022;15:00:00;24,3;63,8
01/08/2022;15:15:00;24,3;63,9
01/08/2022;15:30:00;24,3;63,9
01/08/2022;15:45:00;24,3;63,9
01/08/2022;16:00:00;24,3;63,9
01/08/2022;16:15:00;24,4;63,9
01/08/2022;16:30:00;24,3;64,0
01/08/2022;16:45:00;24,4;64,1
01/08/2022;17:00:00;24,4;64,1
01/08/2022;17:15:00;24,3;64,2
01/08/2022;17:30:00;24,4;64,3
01/08/2022;17:45:00;24,4;64,3
01/08/2022;18:00:00;24,4;64,4
01/08/2022;18:15:00;24,4;64,4
01/08/2022;18:30:00;24,4;64,4
01/08/2022;18:45:00;24,4;64,4
01/08/2022;19:00:00;24,4;64,5
01/08/2022;19:15:00;24,4;64,5
01/08/2022;19:30:00;24,4;64,5
01/08/2022;19:45:00;24,4;64,7
01/08/2022;20:00:00;24,4;64,7
01/08/2022;20:15:00;24,4;64,8
01/08/2022;20:30:00;24,4;64,9
01/08/2022;20:45:00;24,4;65,0
01/08/2022;21:00:00;24,4;65,0
01/08/2022;21:15:00;24,4;65,0
01/08/2022;21:30:00;24,4;65,0
01/08/2022;21:45:00;24,4;65,1
01/08/2022;21:45:47;24,4;65,0
01/08/2022;22:00:00;24,5;65,0
01/08/2022;22:15:00;24,5;65,0
01/08/2022;22:30:00;24,4;65,1
01/08/2022;22:30:44;24,5;65,0
01/08/2022;22:45:00;24,4;65,0
01/08/2022;23:00:00;24,4;65,1
01/08/2022;23:15:00;24,4;65,1
01/08/2022;23:30:00;24,4;65,2
01/08/2022;23:45:00;24,4;65,2
02/08/2022;00:00:00;24,4;65,2
02/08/2022;00:15:00;24,4;65,3
02/08/2022;00:30:00;24,4;65,3
